ID,Text,Comment
CycleReward.ChooseTitle,Wybierz nagrodę za cykl,Title shown at the top of the reward selection panel
CycleReward.SciencePoints.DisplayName,{0} Punkt nauki,"{0} is the amount"
CycleReward.SciencePoints.PluralDisplayName,{0} Punkty nauki,"{0} is the amount"
CycleReward.Resource,+{0} {1},"{0} = amount; {1} = localized good name"
CycleReward.Weather.DisplayName,{0} dzień {1},"{0} = signed day count; {1} = localized season name"
CycleReward.Weather.PluralDisplayName,{0} dni {1},"{0} = signed day count; {1} = localized season name"
CycleReward.Weather.Temperate,umiarkowane,Season name for the temperate season
CycleReward.Weather.Hazardous,niebezpieczne,Season name for the hazardous season
CycleReward.Need,{0} {1} dla wszystkich {2},"{0} = signed delta; {1} = need display name; {2} = Beavers or Bots"
CycleReward.BuildingUnlock,Odblokuj {0},"{0} = localized building display name"
CycleReward.Mystery.DisplayName,??? Tajemnicza nagroda ???,Label shown on the hidden/mystery reward button
CycleReward.Mystery.RevealTitle,Otrzymałeś,Title shown on the mystery reward reveal popup
CycleReward.Population.Beaver.DisplayName,{0} Bóbr,"{0} is the amount"
CycleReward.Population.Beaver.PluralDisplayName,{0} Bobry,"{0} is the amount"
CycleReward.Population.Child.DisplayName,{0} Szczenię,"{0} is the amount"
CycleReward.Population.Child.PluralDisplayName,{0} Szczenięta,"{0} is the amount"
CycleReward.Population.Bot.DisplayName,{0} Bot,"{0} is the amount"
CycleReward.Population.Bot.PluralDisplayName,{0} Boty,"{0} is the amount"
